package,phase,title,dependencies,ui_refs,file
P001,00-foundation,"Monorepo, Source-neutrale Toolchain und Projekt-Skelett",,UI-093;UI-094,00-foundation/P001_monorepo-toolchain-und-projekt-skelett.md
P002,00-foundation,"Source-neutrales Domänenmodell, Media Identity und gemeinsame Verträge",P001,UI-095;UI-106;UI-107;UI-108;UI-110,00-foundation/P002_dom-nenmodell-und-gemeinsame-vertr-ge.md
P003,00-foundation,Desktop-App Shell und Design-System,P001;P002,UI-001;UI-009,00-foundation/P003_desktop-app-shell-und-design-system.md
P004,00-foundation,Browser-Extension Shell (Manifest V3),P001;P002,UI-019;UI-020,00-foundation/P004_browser-extension-shell-manifest-v3.md
P005,00-foundation,Native Messaging / lokale IPC-Verbindung,P002;P003;P004,UI-079;UI-078,00-foundation/P005_native-messaging-lokale-ipc-verbindung.md
P006,00-foundation,"SQLite Schema, Repository Layer und Migrationen",P002;P003,UI-106;UI-107;UI-108,00-foundation/P006_sqlite-schema-repository-layer-und-migrationen.md
P007,00-foundation,"Einstellungen: Schema, Defaults und Persistenz",P003;P006,UI-009;UI-036;UI-037;UI-038;UI-039;UI-040;UI-041,00-foundation/P007_einstellungen-schema-defaults-und-persistenz.md
P008,00-foundation,"Logging, Telemetrie-freie Diagnostik und Fehlermodell",P002;P003;P006,UI-032,00-foundation/P008_logging-telemetrie-freie-diagnostik-und-fehlermodell.md
P009,00-foundation,"Test-Fundament, Source Contract Tests und Instagram-Fixtures",P001;P002;P004,UI-095;UI-104,00-foundation/P009_test-fundament-und-instagram-fixtures.md
P010,00-foundation,"CI, Quality Gates und Build-Artefakte",P001;P003;P004;P009,,00-foundation/P010_ci-quality-gates-und-build-artefakte.md
P011,01-instagram-adapter,Session- und Account-Erkennung,P004;P005;P009,UI-078,01-instagram-adapter/P011_session-und-account-erkennung.md
P012,01-instagram-adapter,Einzelner Bild-Post: Discovery und Download,P011,UI-019,01-instagram-adapter/P012_einzelner-bild-post-discovery-und-download.md
P013,01-instagram-adapter,Video-Posts und Reels,P011;P012,UI-005;UI-019,01-instagram-adapter/P013_video-posts-und-reels.md
P014,01-instagram-adapter,Carousel/Slideshow Datenmodell und Auswahl,P011;P012;P013,UI-006;UI-021,01-instagram-adapter/P014_carousel-slideshow-datenmodell-und-auswahl.md
P015,01-instagram-adapter,Stories: einzelne und aktuell verfügbare Stories,P011;P012;P013,UI-016;UI-081,01-instagram-adapter/P015_stories-einzelne-und-aktuell-verf-gbare-stories.md
P016,01-instagram-adapter,Highlights,P011;P014;P015,UI-017,01-instagram-adapter/P016_highlights.md
P017,01-instagram-adapter,Gespeicherte Beiträge und Instagram-Collections,P011;P014,UI-018,01-instagram-adapter/P017_gespeicherte-beitr-ge-und-instagram-collections.md
P018,01-instagram-adapter,Profil-Scanner und Pagination,P011;P012;P013;P014,UI-020,01-instagram-adapter/P018_profil-scanner-und-pagination.md
P019,01-instagram-adapter,Following-Liste erfassen und auswählen,P011;P018,UI-008,01-instagram-adapter/P019_following-liste-erfassen-und-ausw-hlen.md
P020,01-instagram-adapter,Quality Candidate Resolver,P012;P013;P014;P015,UI-022,01-instagram-adapter/P020_quality-candidate-resolver.md
P021,01-instagram-adapter,Metadatenextraktion und Sidecar-Grundlage,P012;P013;P014;P015;P016;P017,UI-040,01-instagram-adapter/P021_metadatenextraktion-und-sidecar-grundlage.md
P022,01-instagram-adapter,Dateinamen- und Ordner-Template Engine,P007;P021,UI-041,01-instagram-adapter/P022_dateinamen-und-ordner-template-engine.md
P023,01-instagram-adapter,"Robuster Datei-Writer, `.part` und atomare Finalisierung",P012;P013;P022,UI-088,01-instagram-adapter/P023_robuster-datei-writer-part-und-atomare-finalisierung.md
P024,01-instagram-adapter,"Dateiverifikation, Hashing und Media Probe",P020;P023,UI-022;UI-073,01-instagram-adapter/P024_dateiverifikation-hashing-und-media-probe.md
P025,02-planner-queue,Schnellscan: Medienanzahl und grobe Downloadplanung,P018;P019,UI-007;UI-091,02-planner-queue/P025_schnellscan-medienanzahl-und-grobe-downloadplanung.md
P026,02-planner-queue,Vollanalyse und Speichergrößen-Ermittlung,P020;P025,UI-007;UI-091,02-planner-queue/P026_vollanalyse-und-speichergr-en-ermittlung.md
P027,02-planner-queue,Download Planner UI,P025;P026;P003,UI-007,02-planner-queue/P027_download-planner-ui.md
P028,02-planner-queue,Persistente Task Engine und Download Queue,P006;P023;P027,UI-011;UI-100;UI-101,02-planner-queue/P028_persistente-download-queue.md
P029,02-planner-queue,"Worker Scheduler, Pause, Resume und Stop",P028,UI-012,02-planner-queue/P029_worker-scheduler-pause-resume-und-stop.md
P030,02-planner-queue,"Retry, Backoff, Rate-Limit und Cooldown",P028;P029;P008,UI-013;UI-085,02-planner-queue/P030_retry-backoff-rate-limit-und-cooldown.md
P031,02-planner-queue,Crash-Recovery und Neustart-Wiederaufnahme,P028;P029;P023,UI-087,02-planner-queue/P031_crash-recovery-und-neustart-wiederaufnahme.md
P032,02-planner-queue,Prioritäten und Drag & Drop in Queue,P028;P029,UI-089,02-planner-queue/P032_priorit-ten-und-drag-drop-in-queue.md
P033,02-planner-queue,Download- und Sync-Historie,P028;P006,UI-031,02-planner-queue/P033_download-und-sync-historie.md
P034,03-bulk-sync,Komplettes Profil herunterladen,P018;P020;P022;P024;P028,UI-020,03-bulk-sync/P034_komplettes-profil-herunterladen.md
P035,03-bulk-sync,Alle ausgewählten Followings archivieren,P019;P025;P026;P028;P034,UI-008;UI-007,03-bulk-sync/P035_alle-ausgew-hlten-followings-archivieren.md
P036,03-bulk-sync,Inkrementelle Synchronisierung: nur Neues,P018;P034;P035;P006,UI-014,03-bulk-sync/P036_inkrementelle-synchronisierung-nur-neues.md
P037,03-bulk-sync,Sync Preview und Dry Run,P036;P027,UI-014;UI-090,03-bulk-sync/P037_sync-preview-und-dry-run.md
P038,03-bulk-sync,Account-Identität und Username-Historie,P011;P018;P019;P006,UI-076;UI-015,03-bulk-sync/P038_account-identit-t-und-username-historie.md
P039,03-bulk-sync,Archivmodus und remote gelöschte Medien,P036;P037,UI-025,03-bulk-sync/P039_archivmodus-und-remote-gel-schte-medien.md
P040,04-library-explorer,Medienindex und Thumbnail-Cache,P006;P021;P024,UI-002,04-library-explorer/P040_medienindex-und-thumbnail-cache.md
P041,04-library-explorer,Explorer Grid- und Listenansicht,P040;P003,UI-002;UI-003,04-library-explorer/P041_explorer-grid-und-listenansicht.md
P042,04-library-explorer,Bild- und Video-Viewer,P041;P024,UI-004;UI-005;UI-052,04-library-explorer/P042_bild-und-video-viewer.md
P043,04-library-explorer,Carousel/Slideshow Viewer,P014;P041;P042,UI-006,04-library-explorer/P043_carousel-slideshow-viewer.md
P044,04-library-explorer,"Globale Suche, Filter, Sortierung und Gruppierung",P041;P006,UI-028;UI-029,04-library-explorer/P044_globale-suche-filter-sortierung-und-gruppierung.md
